Roll,Total (Marks: 90),CT_1_Max_20,CT_2_Max_20,CT_3_Max_20,CT_4_Max_20,CT_Total_60,Attendance,Observation,Exam_1_105,Exam_2_105,Total,CT_1_Marks_bin,CT_2_Marks_bin,CT_3_Marks_bin,CT_4_Marks_bin,Exam_1_Marks_bin,Exam_2_Marks_bin,CT_Total_bin
2.0,75.5,12.5,15.0,14.0,18.0,47.0,15.0,13.5,45.0,46.5,167.0,high,low,low,very_high,high,low,high
3.0,66.5,9.0,10.0,17.0,11.0,38.0,15.0,13.5,28.0,44.0,138.5,low,very_low,very_high,high,low,low,very_low
4.0,66.5,10.0,15.5,12.5,6.5,38.0,15.0,13.5,26.5,43.0,136.0,low,high,low,very_low,low,very_low,very_low
5.0,76,14.0,14.0,18.0,0.0,46.0,15.0,15.0,46.0,44.0,166.0,very_high,low,very_high,very_low,high,low,high
6.0,76,14.5,15.5,15.0,15.5,46.0,15.0,15.0,26.0,74.5,176.5,very_high,high,high,very_high,very_low,very_high,high
7.0,78,13.5,13.0,18.0,16.5,48.0,15.0,15.0,77.0,70.0,225.0,high,very_low,very_high,very_high,very_high,high,high
8.0,76.5,14.0,16.0,14.0,16.5,46.5,15.0,15.0,69.0,79.5,225.0,very_high,high,low,very_high,very_high,very_high,high
9.0,79.5,11.0,17.0,15.5,20.0,52.5,15.0,12.0,49.0,67.0,195.5,low,high,high,very_high,very_high,high,very_high
10.0,67,8.0,15.0,14.0,8.0,37.0,15.0,15.0,26.0,38.5,131.5,very_low,low,low,low,very_low,very_low,very_low
11.0,69,11.5,14.5,7.0,14.5,40.5,15.0,13.5,40.0,41.0,150.0,low,low,very_low,high,high,very_low,low
12.0,67,7.5,13.0,18.0,7.5,38.5,15.0,13.5,51.0,45.0,163.0,very_low,very_low,very_high,low,very_high,low,very_low
13.0,73.5,12.5,20.0,11.0,0.0,43.5,15.0,15.0,48.0,59.5,181.0,high,very_high,very_low,very_low,high,low,low
14.0,65.5,7.5,11.5,17.0,8.5,37.0,15.0,13.5,42.0,23.5,131.0,very_low,very_low,very_high,low,high,very_low,very_low
15.0,73.5,7.5,15.5,15.0,14.5,45.0,15.0,13.5,43.0,64.0,180.5,very_low,high,high,high,high,high,high
