PassengerId,Age,LogFare,IsMother,LogFamilySize,LogParch,LogSibSp,IsAdult,Pclass_1,Pclass_2,Pclass_3,Title_Lady,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Sir,Title_officer,AgeGroup_adult,AgeGroup_child,AgeGroup_m_age,AgeGroup_s_citizen,AgeGroup_y_adult,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,FamilyType_Couple,FamilyType_LargeFamily,FamilyType_Single,FamilyType_SmallFamily,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Z,Survived
1,22.0,2.1102132003465894,0,1.0986122886681098,0.0,0.6931471805599453,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,38.0,4.2805931204649,0,1.0986122886681098,0.0,0.6931471805599453,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,26.0,2.188856327665703,0,0.6931471805599453,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
4,35.0,3.9908341858524357,0,1.0986122886681098,0.0,0.6931471805599453,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5,35.0,2.2027647577118348,0,0.6931471805599453,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,29.0,2.246892662898172,0,0.6931471805599453,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,54.0,3.967694202798607,0,0.6931471805599453,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,2.0,3.0944457464900235,0,1.791759469228055,0.6931471805599453,1.3862943611198906,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9,27.0,2.495953738718064,1,1.3862943611198906,1.0986122886681098,0.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
10,14.0,3.436268471383741,0,1.0986122886681098,0.0,0.6931471805599453,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
11,4.0,2.8735646395797834,0,1.3862943611198906,0.6931471805599453,0.6931471805599453,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
12,58.0,3.3160025355989236,0,0.6931471805599453,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
13,20.0,2.2027647577118348,0,0.6931471805599453,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,39.0,3.4742929367327062,1,2.0794415416798357,1.791759469228055,0.6931471805599453,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
